GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.controllers,ActorController,44,10,0,0,10,2,9,1,9,1
demo,com.example.demo.controllers,FilmController,25,5,0,0,6,1,5,1,5,1
demo,com.example.demo.entities,TestActorResponse,0,15,0,0,0,5,0,1,0,1
demo,com.example.demo.entities,Actor,0,8,0,0,0,2,0,1,0,1
demo,com.example.demo.entities,Film,0,8,0,0,0,2,0,1,0,1
demo,com.example.demo.entities,Language,0,3,0,0,0,1,0,1,0,1
demo,com.example.demo.entities,PartialFilmResponse,0,16,0,0,0,5,0,1,0,1
demo,com.example.demo.entities,ActorResponse,23,0,0,0,9,0,1,0,1,0
demo,com.example.demo.entities,LanguageResponse,11,0,0,0,4,0,1,0,1,0
demo,com.example.demo.services,FilmService,113,0,0,0,27,0,10,0,10,0
demo,com.example.demo.services,ActorService,108,11,0,0,28,2,11,2,11,2
demo,com.example.demo,DemoApplication,8,0,0,0,3,0,2,0,2,0
